timestamp,id,sensor_type,site_id,msg_type,value,seq,quality
2025-09-01T08:00:00Z,hum-A2,humidity,field-01,keepalive,,181,ok
2025-09-01T08:00:00Z,hum-A2,humidity,field-01,reading,54.617,1,ok
2025-09-01T08:00:00Z,soil-A3,soil_moist,field-02,keepalive,,91,ok
2025-09-01T08:00:00Z,soil-A3,soil_moist,field-02,reading,35.313,1,ok
2025-09-01T08:00:00Z,temp-A1,temperature,field-01,keepalive,,151,ok
2025-09-01T08:00:00Z,temp-A1,temperature,field-01,reading,27.338,1,ok
2025-09-01T08:01:00Z,hum-A2,humidity,field-01,reading,55.572,2,ok
2025-09-01T08:01:00Z,temp-A1,temperature,field-01,reading,26.959,2,ok
2025-09-01T08:02:00Z,hum-A2,humidity,field-01,reading,55.767,3,ok
2025-09-01T08:02:00Z,soil-A3,soil_moist,field-02,reading,35.63,2,ok
2025-09-01T08:02:00Z,temp-A1,temperature,field-01,reading,27.112,3,ok
2025-09-01T08:03:00Z,hum-A2,humidity,field-01,reading,56.764,4,ok
2025-09-01T08:03:00Z,temp-A1,temperature,field-01,reading,27.239,4,ok
2025-09-01T08:04:00Z,hum-A2,humidity,field-01,reading,56.144,5,ok
2025-09-01T08:04:00Z,soil-A3,soil_moist,field-02,reading,35.011,3,ok
2025-09-01T08:04:00Z,temp-A1,temperature,field-01,reading,27.052,5,ok
2025-09-01T08:05:00Z,hum-A2,humidity,field-01,keepalive,,182,ok
2025-09-01T08:05:00Z,hum-A2,humidity,field-01,reading,54.829,6,ok
2025-09-01T08:05:00Z,soil-A3,soil_moist,field-02,keepalive,,92,ok
2025-09-01T08:05:00Z,temp-A1,temperature,field-01,keepalive,,152,ok
2025-09-01T08:05:00Z,temp-A1,temperature,field-01,reading,27.263,6,ok
2025-09-01T08:06:00Z,hum-A2,humidity,field-01,reading,55.477,7,ok
2025-09-01T08:06:00Z,soil-A3,soil_moist,field-02,reading,35.495,4,ok
2025-09-01T08:06:00Z,temp-A1,temperature,field-01,reading,27.314,7,ok
2025-09-01T08:07:00Z,hum-A2,humidity,field-01,reading,57.417,8,ok
2025-09-01T08:07:00Z,temp-A1,temperature,field-01,reading,27.016,8,ok
2025-09-01T08:08:00Z,hum-A2,humidity,field-01,reading,56.884,9,ok
2025-09-01T08:08:00Z,soil-A3,soil_moist,field-02,reading,35.178,5,ok
2025-09-01T08:08:00Z,temp-A1,temperature,field-01,reading,27.622,9,ok
2025-09-01T08:09:00Z,hum-A2,humidity,field-01,reading,58.258,10,ok
2025-09-01T08:09:00Z,temp-A1,temperature,field-01,reading,27.59,10,ok
2025-09-01T08:10:00Z,hum-A2,humidity,field-01,keepalive,,183,ok
2025-09-01T08:10:00Z,hum-A2,humidity,field-01,reading,57.821,11,ok
2025-09-01T08:10:00Z,soil-A3,soil_moist,field-02,keepalive,,93,ok
2025-09-01T08:10:00Z,soil-A3,soil_moist,field-02,reading,35.237,6,ok
2025-09-01T08:10:00Z,temp-A1,temperature,field-01,keepalive,,153,ok
2025-09-01T08:10:00Z,temp-A1,temperature,field-01,reading,27.395,11,ok
2025-09-01T08:11:00Z,hum-A2,humidity,field-01,reading,57.256,12,ok
2025-09-01T08:11:00Z,temp-A1,temperature,field-01,reading,27.537,12,ok
2025-09-01T08:12:00Z,hum-A2,humidity,field-01,reading,58.973,13,ok
2025-09-01T08:12:00Z,soil-A3,soil_moist,field-02,reading,35.794,7,ok
2025-09-01T08:12:00Z,temp-A1,temperature,field-01,reading,27.722,13,ok
2025-09-01T08:13:00Z,hum-A2,humidity,field-01,reading,57.71,14,ok
2025-09-01T08:13:00Z,temp-A1,temperature,field-01,reading,27.619,14,ok
2025-09-01T08:14:00Z,hum-A2,humidity,field-01,reading,56.961,15,ok
2025-09-01T08:14:00Z,soil-A3,soil_moist,field-02,reading,36.138,8,ok
2025-09-01T08:14:00Z,temp-A1,temperature,field-01,reading,27.672,15,ok
2025-09-01T08:15:00Z,hum-A2,humidity,field-01,keepalive,,184,ok
2025-09-01T08:15:00Z,hum-A2,humidity,field-01,reading,60.498,16,ok
2025-09-01T08:15:00Z,soil-A3,soil_moist,field-02,keepalive,,94,ok
2025-09-01T08:15:00Z,temp-A1,temperature,field-01,keepalive,,154,ok
2025-09-01T08:15:00Z,temp-A1,temperature,field-01,reading,27.479,16,ok
2025-09-01T08:16:00Z,hum-A2,humidity,field-01,reading,57.56,17,ok
2025-09-01T08:16:00Z,soil-A3,soil_moist,field-02,reading,35.716,9,ok
2025-09-01T08:16:00Z,temp-A1,temperature,field-01,reading,27.929,17,ok
2025-09-01T08:17:00Z,hum-A2,humidity,field-01,reading,59.837,18,ok
2025-09-01T08:17:00Z,temp-A1,temperature,field-01,reading,27.89,18,ok
2025-09-01T08:18:00Z,hum-A2,humidity,field-01,reading,60.314,19,ok
2025-09-01T08:18:00Z,soil-A3,soil_moist,field-02,reading,35.009,10,ok
2025-09-01T08:18:00Z,temp-A1,temperature,field-01,reading,27.968,19,ok
2025-09-01T08:19:00Z,hum-A2,humidity,field-01,reading,59.914,20,ok
2025-09-01T08:19:00Z,temp-A1,temperature,field-01,reading,27.654,20,ok
2025-09-01T08:20:00Z,hum-A2,humidity,field-01,keepalive,,185,ok
2025-09-01T08:20:00Z,hum-A2,humidity,field-01,reading,58.679,21,ok
2025-09-01T08:20:00Z,soil-A3,soil_moist,field-02,keepalive,,95,ok
2025-09-01T08:20:00Z,soil-A3,soil_moist,field-02,reading,130.0,11,corrupted
2025-09-01T08:20:00Z,temp-A1,temperature,field-01,keepalive,,155,ok
2025-09-01T08:20:00Z,temp-A1,temperature,field-01,reading,28.335,21,ok
2025-09-01T08:21:00Z,hum-A2,humidity,field-01,reading,61.063,22,ok
2025-09-01T08:21:00Z,temp-A1,temperature,field-01,reading,28.081,22,ok
2025-09-01T08:22:00Z,hum-A2,humidity,field-01,reading,59.32,23,ok
2025-09-01T08:22:00Z,soil-A3,soil_moist,field-02,reading,35.55,12,ok
2025-09-01T08:22:00Z,temp-A1,temperature,field-01,reading,28.017,23,ok
2025-09-01T08:23:00Z,hum-A2,humidity,field-01,reading,59.617,24,ok
2025-09-01T08:23:00Z,temp-A1,temperature,field-01,reading,28.544,24,ok
2025-09-01T08:24:00Z,hum-A2,humidity,field-01,reading,60.617,25,ok
2025-09-01T08:24:00Z,soil-A3,soil_moist,field-02,reading,36.521,13,ok
2025-09-01T08:24:00Z,temp-A1,temperature,field-01,reading,28.172,25,ok
2025-09-01T08:25:00Z,hum-A2,humidity,field-01,keepalive,,186,ok
2025-09-01T08:25:00Z,hum-A2,humidity,field-01,reading,61.747,26,ok
2025-09-01T08:25:00Z,soil-A3,soil_moist,field-02,keepalive,,96,ok
2025-09-01T08:25:00Z,temp-A1,temperature,field-01,keepalive,,156,ok
2025-09-01T08:25:00Z,temp-A1,temperature,field-01,reading,27.933,26,ok
2025-09-01T08:26:00Z,hum-A2,humidity,field-01,reading,61.563,27,ok
2025-09-01T08:26:00Z,soil-A3,soil_moist,field-02,reading,37.459,14,ok
2025-09-01T08:26:00Z,temp-A1,temperature,field-01,reading,28.183,27,ok
2025-09-01T08:27:00Z,hum-A2,humidity,field-01,reading,62.173,28,ok
2025-09-01T08:27:00Z,temp-A1,temperature,field-01,reading,27.847,28,ok
2025-09-01T08:28:00Z,hum-A2,humidity,field-01,reading,61.367,29,ok
2025-09-01T08:28:00Z,soil-A3,soil_moist,field-02,reading,36.668,15,ok
2025-09-01T08:28:00Z,temp-A1,temperature,field-01,reading,28.554,29,ok
2025-09-01T08:29:00Z,hum-A2,humidity,field-01,reading,61.777,30,ok
2025-09-01T08:29:00Z,temp-A1,temperature,field-01,reading,28.3,30,ok
2025-09-01T08:30:00Z,hum-A2,humidity,field-01,keepalive,,187,ok
2025-09-01T08:30:00Z,hum-A2,humidity,field-01,reading,61.192,31,ok
2025-09-01T08:30:00Z,soil-A3,soil_moist,field-02,keepalive,,97,ok
2025-09-01T08:30:00Z,soil-A3,soil_moist,field-02,reading,36.186,16,ok
2025-09-01T08:30:00Z,temp-A1,temperature,field-01,keepalive,,157,ok
2025-09-01T08:30:00Z,temp-A1,temperature,field-01,reading,28.272,31,ok
2025-09-01T08:31:00Z,hum-A2,humidity,field-01,reading,62.031,32,ok
2025-09-01T08:31:00Z,temp-A1,temperature,field-01,reading,28.671,32,ok
2025-09-01T08:32:00Z,hum-A2,humidity,field-01,reading,62.937,33,ok
2025-09-01T08:32:00Z,soil-A3,soil_moist,field-02,reading,36.151,17,ok
2025-09-01T08:32:00Z,temp-A1,temperature,field-01,reading,28.162,33,ok
2025-09-01T08:33:00Z,hum-A2,humidity,field-01,reading,62.395,34,ok
2025-09-01T08:33:00Z,temp-A1,temperature,field-01,reading,28.634,34,ok
2025-09-01T08:34:00Z,hum-A2,humidity,field-01,reading,63.183,35,ok
2025-09-01T08:34:00Z,soil-A3,soil_moist,field-02,reading,37.564,18,ok
2025-09-01T08:34:00Z,temp-A1,temperature,field-01,reading,28.148,35,ok
2025-09-01T08:35:00Z,hum-A2,humidity,field-01,keepalive,,188,ok
2025-09-01T08:35:00Z,hum-A2,humidity,field-01,reading,62.506,36,ok
2025-09-01T08:35:00Z,soil-A3,soil_moist,field-02,keepalive,,98,ok
2025-09-01T08:35:00Z,temp-A1,temperature,field-01,keepalive,,158,ok
2025-09-01T08:35:00Z,temp-A1,temperature,field-01,reading,28.46,36,ok
2025-09-01T08:36:00Z,hum-A2,humidity,field-01,reading,62.647,37,ok
2025-09-01T08:36:00Z,soil-A3,soil_moist,field-02,reading,37.064,19,ok
2025-09-01T08:36:00Z,temp-A1,temperature,field-01,reading,28.383,37,ok
2025-09-01T08:37:00Z,hum-A2,humidity,field-01,reading,63.303,38,ok
2025-09-01T08:37:00Z,temp-A1,temperature,field-01,reading,28.947,38,ok
2025-09-01T08:38:00Z,hum-A2,humidity,field-01,reading,63.261,39,ok
2025-09-01T08:38:00Z,soil-A3,soil_moist,field-02,reading,37.432,20,ok
2025-09-01T08:38:00Z,temp-A1,temperature,field-01,reading,29.037,39,ok
2025-09-01T08:39:00Z,hum-A2,humidity,field-01,reading,64.03,40,ok
2025-09-01T08:39:00Z,temp-A1,temperature,field-01,reading,28.645,40,ok
2025-09-01T08:40:00Z,hum-A2,humidity,field-01,keepalive,,189,ok
2025-09-01T08:40:00Z,hum-A2,humidity,field-01,reading,63.832,41,ok
2025-09-01T08:40:00Z,soil-A3,soil_moist,field-02,keepalive,,99,ok
2025-09-01T08:40:00Z,soil-A3,soil_moist,field-02,reading,37.711,21,ok
2025-09-01T08:40:00Z,temp-A1,temperature,field-01,keepalive,,159,ok
2025-09-01T08:40:00Z,temp-A1,temperature,field-01,reading,28.906,41,ok
2025-09-01T08:41:00Z,hum-A2,humidity,field-01,reading,65.209,42,ok
2025-09-01T08:41:00Z,temp-A1,temperature,field-01,reading,28.727,42,ok
2025-09-01T08:42:00Z,hum-A2,humidity,field-01,reading,63.762,43,ok
2025-09-01T08:42:00Z,soil-A3,soil_moist,field-02,reading,37.306,22,ok
2025-09-01T08:42:00Z,temp-A1,temperature,field-01,reading,28.901,43,ok
2025-09-01T08:43:00Z,hum-A2,humidity,field-01,reading,63.871,44,ok
2025-09-01T08:43:00Z,temp-A1,temperature,field-01,reading,28.66,44,ok
2025-09-01T08:44:00Z,hum-A2,humidity,field-01,reading,63.329,45,ok
2025-09-01T08:44:00Z,soil-A3,soil_moist,field-02,reading,37.254,23,ok
2025-09-01T08:44:00Z,temp-A1,temperature,field-01,reading,28.491,45,ok
2025-09-01T08:45:00Z,hum-A2,humidity,field-01,keepalive,,190,ok
2025-09-01T08:45:00Z,hum-A2,humidity,field-01,reading,64.282,46,ok
2025-09-01T08:45:00Z,soil-A3,soil_moist,field-02,keepalive,,100,ok
2025-09-01T08:45:00Z,temp-A1,temperature,field-01,keepalive,,160,ok
2025-09-01T08:45:00Z,temp-A1,temperature,field-01,reading,28.492,46,ok
2025-09-01T08:46:00Z,hum-A2,humidity,field-01,reading,64.906,47,ok
2025-09-01T08:46:00Z,soil-A3,soil_moist,field-02,reading,37.008,24,ok
2025-09-01T08:46:00Z,temp-A1,temperature,field-01,reading,28.949,47,ok
2025-09-01T08:47:00Z,hum-A2,humidity,field-01,reading,63.857,48,ok
2025-09-01T08:47:00Z,temp-A1,temperature,field-01,reading,29.339,48,ok
2025-09-01T08:48:00Z,hum-A2,humidity,field-01,reading,64.492,49,ok
2025-09-01T08:48:00Z,soil-A3,soil_moist,field-02,reading,36.01,25,ok
2025-09-01T08:48:00Z,temp-A1,temperature,field-01,reading,28.96,49,ok
2025-09-01T08:49:00Z,hum-A2,humidity,field-01,reading,65.183,50,ok
2025-09-01T08:49:00Z,temp-A1,temperature,field-01,reading,28.817,50,ok
2025-09-01T08:50:00Z,hum-A2,humidity,field-01,keepalive,,191,ok
2025-09-01T08:50:00Z,hum-A2,humidity,field-01,reading,64.576,51,ok
2025-09-01T08:50:00Z,soil-A3,soil_moist,field-02,keepalive,,101,ok
2025-09-01T08:50:00Z,soil-A3,soil_moist,field-02,reading,36.857,26,ok
2025-09-01T08:50:00Z,temp-A1,temperature,field-01,keepalive,,161,ok
2025-09-01T08:50:00Z,temp-A1,temperature,field-01,reading,29.318,51,ok
2025-09-01T08:51:00Z,hum-A2,humidity,field-01,reading,64.326,52,ok
2025-09-01T08:51:00Z,temp-A1,temperature,field-01,reading,28.996,52,ok
2025-09-01T08:52:00Z,hum-A2,humidity,field-01,reading,65.575,53,ok
2025-09-01T08:52:00Z,soil-A3,soil_moist,field-02,reading,37.641,27,ok
2025-09-01T08:52:00Z,temp-A1,temperature,field-01,reading,28.98,53,ok
2025-09-01T08:53:00Z,hum-A2,humidity,field-01,reading,64.924,54,ok
2025-09-01T08:53:00Z,temp-A1,temperature,field-01,reading,29.02,54,ok
2025-09-01T08:54:00Z,hum-A2,humidity,field-01,reading,65.206,55,ok
2025-09-01T08:54:00Z,soil-A3,soil_moist,field-02,reading,37.643,28,ok
2025-09-01T08:54:00Z,temp-A1,temperature,field-01,reading,28.951,55,ok
2025-09-01T08:55:00Z,hum-A2,humidity,field-01,keepalive,,192,ok
2025-09-01T08:55:00Z,hum-A2,humidity,field-01,reading,65.862,56,ok
2025-09-01T08:55:00Z,soil-A3,soil_moist,field-02,keepalive,,102,ok
2025-09-01T08:55:00Z,temp-A1,temperature,field-01,keepalive,,162,ok
2025-09-01T08:55:00Z,temp-A1,temperature,field-01,reading,28.923,56,ok
2025-09-01T08:56:00Z,hum-A2,humidity,field-01,reading,65.87,57,ok
2025-09-01T08:56:00Z,soil-A3,soil_moist,field-02,reading,37.982,29,ok
2025-09-01T08:56:00Z,temp-A1,temperature,field-01,reading,28.704,57,ok
2025-09-01T08:57:00Z,hum-A2,humidity,field-01,reading,64.698,58,ok
2025-09-01T08:57:00Z,temp-A1,temperature,field-01,reading,29.095,58,ok
2025-09-01T08:58:00Z,hum-A2,humidity,field-01,reading,64.57,59,ok
2025-09-01T08:58:00Z,soil-A3,soil_moist,field-02,reading,37.763,30,ok
2025-09-01T08:58:00Z,temp-A1,temperature,field-01,reading,28.979,59,ok
2025-09-01T08:59:00Z,hum-A2,humidity,field-01,reading,65.226,60,ok
2025-09-01T08:59:00Z,temp-A1,temperature,field-01,reading,29.238,60,ok
2025-09-01T09:00:00Z,hum-A2,humidity,field-01,keepalive,,193,ok
2025-09-01T09:00:00Z,hum-A2,humidity,field-01,reading,64.893,61,ok
2025-09-01T09:00:00Z,soil-A3,soil_moist,field-02,keepalive,,103,ok
2025-09-01T09:00:00Z,soil-A3,soil_moist,field-02,reading,37.946,31,ok
